mos	fr	en
Biigã yãbame.	L'enfant a pleuré.	The child wept.
Yik-y-yã. Tʋʋm-y-yã.	Levez-vous. Travaillez.	Stand up. Work!
A waame.	Il / elle est venu(e).	He / she came.
A baaba waame.	Son père est venu.	His father came.
A Poll la a Zã.	Paul et Jean.	Paul and John.
A yiib la a tã ya a nu.	Deux et trois, ça fait cinq.	Two and three equals five.
A koos-a-la zaamẽ. A koosa wed-moaagã zaamẽ.	Il l'a vendu hier. Il a vendu le cheval hier.	He sold it yesterday. He sold the horse yesterday.
Ra sak tɩ bendr wẽ a bal tɩ f sao a bal ye.	Proverbe : N'accepte pas qu'un tam-tam joue n'importe comment pour que tu danses n'importe comment.	Proverb: Don't accept that a drum is plied no matter how and then you dance no matter how. (You have to know the difference and act accordingly)
bɩ y tek yam n kos sugri. A sãn ka woto, mam na n waa yãmb nengẽ tao-tao n wa zab ne bãmb.	Change donc d'attitude. Sinon, je viendrai à toi bientôt et je combattrai ces gens.	Therefore repent. If not, I will come to you soon and war against them.
Weer a to.	Une autre fois / moment.	Another time / moment.
Sɛgda a na wa a toore	Cela mérite qu'il vient lui-même.	It is fitting that hi himself comes.
Ninsaal yaa a wae, a ka tat piig ye.	L'homme est neuf, il ne vaut pas dix. (Proverbe: il est de la nature de l'être humain de n'être pas parfait, il comporte des insuffisances).	The human being is nine, he is not worth ten. (Proverb: it is in the nature of the human being not to be perfect, it has shortcomings).
Ka maand a boto ye, maana a woto.	Ne fais pas comme cela, fais plutôt ainsi.	Don't do it like that, do it lake this.
La pag a ye n dag n be be tɩ bãag tar-a.	Or, il y avait une femme qui était malade.	And there was a woman who had a disease.
Ki ne nadeng k a ye ye.	Le pied de mil semé et le pied de mil non semé ne sont pas identiques. (proverbe disant: il y a une grande différence entre le vrai et le faux. Une photocopie n'équivaut pas à l'original.)	The sown millet plant and the wild millet plant are not identical. (A proverb saying: there is a big difference between the real one and only an imitation. A photocopy is not the same as the original.)
A zagl pa reeg t'a goabg nug kiime ye.	Proverbe : Untel ne veut pas admette que sa main gauche est morte (Sens: ne pas vouloir admettre la vérité/erreurs).	What's-his-name doesn't want to admit that his left hand is dead (i.e. not admitting the truth/errors).
Pag wa a zall na kuil a zalla.	La femme est venue les mains vides, elle repartira les mains vides. (Proverbe: au mariage elle rejoint pratiquement le mari les mains vides. C'est au cours de sa vie qu'elle mettra au monde des enfants et aura des biens. En cas de divorce ou décès du mari, elle devrait repartir les mains vides.)	The woman came empty-handed, she will leave empty-handed. (Proverb: at marriage she practically joins the husband empty-handed. It is during her life that she will give birth to children and have property. In the event of divorce or the death of the husband, she will leave empty-handed .)
Aba! Ya yaa a wãna?	Ah non! Vous êtes comme ça?	Oh no! Are you like that?
Ad kamba.	Voici des enfants.	Here are children.
Ada yaa mam bi-ribl mam sẽn yãke.	Celui-ci est mon fils élu.	This is my chosen son.
Ad kamba.	Voici des enfants.	Here are children.
A rɩɩme n tɩge, n zĩnd be n zod arrr	Il a mangé et pousse un rôt.	He has eaten and burps.
Arzãn yaa nin-sõama zĩig Wẽnnaam nengẽ kũum poore.	Le Paradis es l'endroit où les justes peuvent se réjouir devant Dieu après la mort.	Heaven is where the righteous can rejoice before God after death.
Waaf da tara sɩlem n yɩɩd we-rũms nins fãa Zu-soab a Wẽnnaam sẽn maanã. Yẽ soka Awa tɩ yaa: «Rẽ yĩnga Wẽnnaam sɩd yeela yãmb tɩ y ra rɩ tɩɩg baa a ye sẽn be tɩɩsã zĩigẽ wã biisi?»	Le serpent était le plus rusé de tous les animaux sauvages que le Seigneur avait faits. Il demanda à Eve : «Est-ce vrai que Dieu vous a dit: “Vous ne devez manger aucun fruit du jardin”?»	Now the snake was the most cunning animal that the Lord God had made. The snake asked the woman, “Did God really tell you not to eat fruit from any tree in the garden?”
A ma wã gomame n yeel tɩ ayo! T'a yʋʋr na n yɩ a Zã.	Sa mère a dit : «Non, il s'appellera Jean.»	His mother answered, “No; he shall be called John.”
Ayy, mam ka bool ye!	Non, pas du tout, je n'ai pas appelé!	No, not at all, I didn't call!
Ã ! Yaa fo bɩ?	Ah! C'est toi?	Ah! It's you?
Koomã. Biigã.	Cette eau-là. Cet enfant-là (en question).	The water. The child.
ka sakd «ãa» ye, sakda «naaba».	ne dites pas simplement «oui», dites plutôt «oui, s'il vous plaît».	don't just say «yes», say rather «yes, please».
ra-ãbga	bière aigre	sour beer
*	*	*
Wẽnd na kõ laafɩ. Amina!	«Que Dieu vous donne la santé». «Amen».	«May God give you health». «Amen».
Woto yaa ãnda rẽnda?	Ceci appartient à qui?	Who's is this?
ãndũniya yaa raaga, a kẽedame la a ka zɛɛd yiib ye.	ãndũniya yaa raaga, a kẽedame la a ka zɛɛd yiib ye.	ãndũniya yaa raaga, a kẽedame la a ka zɛɛd yiib ye.
Yaa tɩ-ãsdga.	C'est un arbre facilement cassable.	It's a tree that is easily breakable.
Seobgã kɩtame tɩ tɩɩgã wil bɛd ãs n dʋʋge.	Le vent a fait que la grand branche de l'arbre se casse et tombe par terre.	The wind caused that the big tree branch broke and fell to the ground.
Koomã ãsga pibrã.	L'eau a rompu la digue.	The water broke the dam.
Kʋlgã rɩɩme n dɩ n ãsem n kẽnge.	Le fleuve s'est étale sur une grande surface.	The river spread over a large area.
Yeel-b tɩ b wa.	Dis-leur de venir.	Tell them to come
B na n yãaga foo.	Il (mon père) va t'accompagner.	He (my father) will come along with you.
Ned ba a ye ka wa ye.	Même pas une personne n'est venue.	Not even one person has come.
Ba t'a wa yã ...	Même s'il est venu ...	Even if he came ...
Bool-ba.	Appelle-les.	Call them.
M ba Zã waame.	Mon grand frère Jean est venu.	My elder brother John has come.
Ba ne saagã sẽn niidã, a na n waa ka.	Bien qu'il soit en train de pleuvoir il va venir ici.	Although it is raining he will come here.
yaa ba-biilim n be a Pok ne a Raoog sʋka, ka ma-biilim ye.	yaa ba-biilim n be a Pok ne a Raoog sʋka, ka ma-biilim ye.	yaa ba-biilim n be a Pok ne a Raoog sʋka, ka ma-biilim ye.
Ned ka tõe n bãng ba-bi ba-gãe ye.	Personne ne peut reconnaître un chiot enragé. (proverbe: on ne peut pas se prononcer sur le caractères futurs d' un enfant, des dirigeants fraîchement élus)	No one can recognize a rabid puppy. (proverb: one can not pronounce on the future characters of a child, of the newly elected leaders)
Ba-raoog pãng la a yiri.	La force du chien mâle, c'est chez lui. (Proverbe: il a tout le soutien des membres de la famille et rien ne peut lui arriver tant qu'il joue son rôle de protecteur.)	The strength of the male dog is at home. (Proverb: he has all the support of family members and nothing can happen to him as long as he plays his role of protector.)
Bi-puglã ba-rãmb yɛɛsame.	Les parents de la jeune fille furent étonnés.	The parents of the girls were amazed.
Wẽnd n yẽesd ba-sãadg sɛɛga.	C'est Dieu qui nettoie le derrière du chien qui souffre de la diarrhée. (Proverbe: on ne doit pas perdre espoir quelles que soit les situations.)	It is God who cleans the backside of a dog with diarrhoea. (Proverb: one should not lose hope in any situation.)
Soom-tʋʋlg sã n yi, ba-tʋʋlg n yõkd-a.	Si un lièvre rapide apparaît, un chien rapide l'attrapera. (Proverbe: quand quelqu'un se croit meilleur, plus intelligent ou plus rusé que les autres, il en trouvera excellent, plus intelligent et plus rusé que lui.)	If a fast hare appears, a fast dog will catch it. (Proverb: When someone thinks he is better or smarter than others, he will find a somebody more excellent, and smarter than him.)
Ba-yir ka lobgd ne kugr ye, ba-yir lobgda ne tãn-dagre.	On ne lapide pas la patrie avec un caillou, on utilise un morceau de terre. Proverbe (Sens: On doit toujours poser des actions constructives en faveur de son lieu d'origine)	One doesn't throw a stone at ones birthplace, but one throws earth mud. Proverb
ligd-ba-zaaga	grande quantité d'argent	large amount of money
ya n yaa bõe ba-zaalem la woto?	ya n yaa bõe ba-zaalem la woto?	ya n yaa bõe ba-zaalem la woto?
Bala, baa sobgã ne ko-pɛmã sakda bãmb noore.	Car il commande même au vent et à l'eau, et ils lui obéissent.	He commands even winds and water, and they obey him.
Kẽng-y toor n tɩ bao mood zĩig ning yãmb sẽn tõe n paamẽ. La b ka na n boog yãmb tʋʋmdã baa bilf ye.»	Allez vous-mêmes en chercher où vous pourrez en trouver. Et sachez qu'il n'y aura pas de réduction sur le nombre exigé de briques.	He says that you must go and get it for yourselves wherever you can find it, but you must still make the same number of bricks, not the smallest reduction.
Da maan-y yɩɩr ne bũmb baa fʋɩ ye.	Ne vous soucieux de rien:	Don't be anxious about anything.
Baa tɩ f sã n pa nong soaamb, bɩ f sak t'a tʋb waooga.	Même si tu n'aimes pas le lièvre, il faut reconnaître que ses oreilles sont grandes. (Proverbe: quand une personne excelle dans un domaine donné, on doit le juger de façon objective en reconnaissant son mérite même si elle est un ennemi.)	Even if you don't like the hare, you have to admit that its ears are large. (Proverb: When a person excels in a given field, one should judge him objectively by recognizing his merit even if he is an enemy.)
Biig pa mi t'a baaba pa naab / Wẽnd ye.	L'enfant ne sait pas que son père n'est pas chef / Dieu. (Proverbe: chacun doit agir en fonction des réalités de ses parents et se comporter en conséquence: il ne doit pas leur réclamer ce qu'ils ne sont pas ne mesure de trouver.)	The child does not know that his father is not a chief / God. (Proverb: each one must act according to the realities of his parents and behave accordingly: he must not claim from them what they are not able to find.)
Neb fãa baadame.	Tous les gens se sont quittés.	All the people left.
Yãmb baad tɩ ka maam ye.	Tu sais que ce n'est pas moi.	You know it's not me.
Baad-y kũunã.	Voici, prends le cadeau.	Here, take the gift.
Wa ka !	Viens ici !	Come here !
Wĩn-to-baaga.	Intense chaleur.	Intense heat.
